name,team,age,g,pa,hr,sb,cs,bb%,k%,iso,babip,avg,obp,slg,woba,wrc+,war
George Springer,TOR,31,150,641,30,4,1,10.9,18.1,0.222,0.285,0.267,0.354,0.488,0.355,127,4
Marcus Semien,TOR,30,150,630,20,10,3,10.3,20.5,0.17,0.295,0.254,0.332,0.424,0.328,108,3.2
Randal Grichuk,TOR,29,150,604,26,3,1,6.3,23.8,0.197,0.292,0.251,0.303,0.449,0.335,106,1.6
Teoscar Hernandez,TOR,28,150,610,32,9,3,8.2,30.8,0.233,0.315,0.25,0.313,0.483,0.347,114,2.5
Danny Jansen,TOR,26,98,338,12,0,0,10.9,20.4,0.171,0.258,0.229,0.322,0.401,0.326,94,1
Lourdes Gurriel Jr.,TOR,27,150,617,27,6,2,7.1,21.7,0.202,0.301,0.265,0.321,0.467,0.345,117,2.9
Rowdy Tellez,TOR,26,150,566,30,0,1,8.3,19.8,0.23,0.27,0.255,0.323,0.485,0.359,116,1.6
Bo Bichette,TOR,23,150,727,26,20,5,7,19.5,0.183,0.298,0.263,0.318,0.446,0.341,112,2.8
Cavan Biggio,TOR,26,150,630,22,11,3,12.9,24.6,0.189,0.298,0.243,0.345,0.431,0.334,122,2.7
Vladimir Guerrero Jr.,TOR,22,150,659,28,3,2,9.1,14.1,0.21,0.283,0.274,0.344,0.484,0.37,132,1.9
Alejandro Kirk,TOR,22,108,439,15,1,1,10,14.8,0.177,0.269,0.254,0.333,0.431,0.331,118,1.4
Santiago Espinal,TOR,26,78,251,4,4,1,6.8,21.1,0.104,0.299,0.243,0.297,0.348,0.298,81,0.4
