Season,Name,Team,Level,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,PlayerId
2010,David Eckstein,SDP,LEVEL,35,12,0.16666667,0,2,0.33333333,0.5,0.44444444,0.94444444,0.11111111,0.767857143,0.33333333,-0.002220105,2.61939762,1.128877619,0.450351839,175.7371668,10
2009,Aramis Ramirez,CHC,LEVEL,31,9,0.33333333,0,3,0.5,0.66666667,0.66666667,1.33333334,0.16666667,1.601190455,0.5,-0.003970255,2.968878658,1.885152692,0.598885443,273.9510495,1002
2010,Aramis Ramirez,CHC,LEVEL,32,8,0.25,0.25,1,0.16666667,0.375,0.16666667,0.54166667,0,1.601190455,0.25,-0.000888042,0.397387527,-0.596292474,0.23783786,39.99149892,1002
2014,Aramis Ramirez,MIL,LEVEL,36,6,0,0.16666667,0,0.33333333,0.33333333,0.33333333,0.66666666,0,0.142857143,0.4,-0.001907346,0.644331476,-0.054362514,0.30884699,92.21941004,1002
2010,Christian Bethancourt,ATL,LEVEL,18,420,0.03333333,0.14761905,0.22580645,0.25062657,0.27619048,0.33082707,0.60701755,0.0802005,4.825775453,0.28613569,0.95480898,35.30881735,-15.01600144,0.276317757,70.16183705,10028
2011,Christian Bethancourt,ATL,LEVEL,19,235,0.03404255,0.11489362,0.2962963,0.30316742,0.32340426,0.42986425,0.75326851,0.12669683,5.435804609,0.32307692,-0.175543815,30.27446147,0.887947641,0.335190247,103.0216161,10028
2010,Chris Owings,ARI,LEVEL,18,271,0.03321033,0.18450185,0.18,0.29803922,0.32342007,0.44705882,0.77047889,0.1490196,4.211170793,0.34975369,-1.130393258,36.88723491,3.226324902,0.346788265,109.5847822,10030
2008,Pokey Reese,WSN,LEVEL,35,18,0.11111111,0.05555556,2,0.25,0.33333333,0.4375,0.77083333,0.1875,2.642857143,0.21428571,-0.01280715,2.586840296,0.386178324,0.35076745,117.5482799,1004
2010,Wil Myers,KCR,LEVEL,19,294,0.16326531,0.18707483,0.87272727,0.2892562,0.40816327,0.5,0.90816327,0.2107438,4.840107404,0.33519553,0.656730161,55.50325158,18.98551157,0.413174662,151.9898317,10047
2010,Max Stassi,OAK,LEVEL,19,465,0.09677419,0.30322581,0.31914894,0.22871046,0.31034483,0.37956204,0.68990687,0.15085158,3.096975338,0.31153846,-0.751262238,52.81346299,-4.944187025,0.318381698,91.43977114,10059
2011,Tomas Telis,TEX,LEVEL,20,494,0.03643725,0.0708502,0.51428571,0.29718004,0.32924335,0.42950108,0.75874443,0.13232104,4.257016738,0.30071599,-0.355714869,66.13743497,4.363231432,0.341471753,107.0631933,10067
2010,Jonathan Villar,PHI,LEVEL,19,420,0.06190476,0.2452381,0.25242718,0.2722372,0.33169533,0.35849057,0.6901859,0.08625337,8.161762075,0.36940299,2.180247673,49.43823081,-0.886587983,0.319724324,98.2382689,10071
2017,Jonathan Villar,MIL,LEVEL,26,15,0.06666667,0.2,0.33333333,0.61538462,0.6,0.84615385,1.44615385,0.23076923,4.613761993,0.72727273,-0.41107871,5.144896957,3.378736975,0.613544929,291.3041293,10071
2011,Donald Lutz,CIN,LEVEL,22,506,0.06719368,0.24703557,0.272,0.30107527,0.35770751,0.49247312,0.85018063,0.19139785,4.736285486,0.375,-0.880405683,83.17659779,24.03784764,0.384022076,140.6465263,10154
2009,Mike Trout,LAA,LEVEL,17,20,0.2,0.3,0.66666667,0.26666667,0.42105263,0.26666667,0.6877193,0,0.299107143,0.44444444,-0.006352408,2.77162287,0.363342944,0.350958523,115.0872388,10155
2010,Mike Trout,LAA,LEVEL,18,368,0.125,0.14130435,0.88461538,0.36217949,0.45355191,0.52564103,0.97919294,0.16346154,9.080914918,0.41960784,5.031465423,78.78662168,33.07734166,0.445071997,172.3646088,10155
2010,Nick Franklin,SEA,LEVEL,19,574,0.08710801,0.21428571,0.40650407,0.28070175,0.3513986,0.48538012,0.83677872,0.20467837,7.15236869,0.32791328,0.591257097,91.19407669,19.89753666,0.375474037,127.9081378,10166
2011,Billy Hamilton,CIN,LEVEL,20,610,0.0852459,0.21803279,0.39097744,0.27818182,0.33993399,0.36,0.69993399,0.08181818,9.170485933,0.35971223,12.0967722,73.49570269,2.201952512,0.326442986,103.0885632,10199
2011,Tucker Barnhart,CIN,LEVEL,20,372,0.09946237,0.15860215,0.62711864,0.27300613,0.34417344,0.38650307,0.73067651,0.11349694,3.86828272,0.3197026,-0.19253717,48.10384211,4.626342,0.338021073,110.6407728,10200
2010,Randal Grichuk,LAA,LEVEL,18,214,0.04205607,0.23364486,0.18,0.29207921,0.3271028,0.52970297,0.85680577,0.23762376,8.060725457,0.35616438,0.782239172,34.70687582,8.125935811,0.379642102,130.5705359,10243
2011,Randal Grichuk,LAA,LEVEL,19,131,0.04580153,0.22137405,0.20689655,0.2295082,0.26717557,0.40163934,0.66881491,0.17213114,4.607474608,0.27956989,-0.449930017,13.12616393,-2.18446111,0.299834701,85.73238451,10243
2010,Francisco Arcia,NYY,LEVEL,20,58,0.12068966,0.13793103,0.875,0.31372549,0.39655172,0.39215686,0.78870858,0.07843137,2.666260372,0.37209302,0.201598712,9.042957054,2.093339221,0.369016481,130.1216451,10286
2011,Francisco Arcia,NYY,LEVEL,21,9,0.22222222,0.22222222,1,0.42857143,0.55555556,0.57142857,1.12698413,0.14285714,0.767857143,0.6,-0.00462724,2.428706735,1.30326578,0.510473543,215.8004579,10286
2012,Francisco Arcia,NYY,LEVEL,22,256,0.08203125,0.17578125,0.46666667,0.24553571,0.31889764,0.38392857,0.70282621,0.13839286,3.270238647,0.28089888,-1.171563428,30.17629413,-1.777370649,0.324041386,94.43766259,10286
2010,Hector Sanchez,SFG,LEVEL,20,341,0.08211144,0.14662757,0.56,0.27419355,0.33628319,0.39354839,0.72983158,0.11935484,2.055387477,0.31372549,-0.827995756,43.97134611,3.112386095,0.334224579,107.6173894,10289
2010,Adrian Nieto,WSN,LEVEL,20,203,0.11330049,0.21674877,0.52272727,0.1954023,0.29145729,0.25287356,0.54433085,0.05747126,3.252557178,0.24806202,0.204375418,15.32776174,-8.995900672,0.265269953,63.01584639,10294
2011,Adrian Nieto,WSN,LEVEL,21,107,0.08411215,0.28971963,0.29032258,0.25510204,0.31775701,0.44897959,0.7667366,0.19387755,4.090437768,0.34375,-0.025449819,14.48069986,1.10045739,0.343276673,108.2244951,10294
2012,Adrian Nieto,WSN,LEVEL,22,299,0.11705686,0.21404682,0.546875,0.25680934,0.34563758,0.39299611,0.73863369,0.13618677,2.971723718,0.31413613,-0.415089972,39.68830673,2.367424818,0.34271366,106.3434321,10294
2010,Eury Perez,WSN,LEVEL,20,491,0.04684318,0.15071283,0.31081081,0.29908676,0.34468085,0.38127854,0.72595939,0.08219178,8.766459497,0.35359116,7.382519601,63.75951701,4.927407427,0.335396429,108.375371,10299
2011,Oswaldo Arcia,MIN,LEVEL,20,81,0.11111111,0.19753086,0.5625,0.35211268,0.41975309,0.70422535,1.12397844,0.35211267,6.455664779,0.39215686,-0.454826189,19.90768486,10.44080984,0.490787243,210.2878174,10306
2011,Danny Ortiz,MIN,LEVEL,21,514,0.07198444,0.18677043,0.38541667,0.23931624,0.29434698,0.39102564,0.68537262,0.1517094,4.917088976,0.27717391,-0.834638785,55.95529006,-4.118460096,0.311197748,93.14432662,10317
2012,Danny Ortiz,MIN,LEVEL,22,94,0.04255319,0.15957447,0.26666667,0.29885057,0.33695652,0.4137931,0.75074962,0.11494253,2.785934705,0.34285714,-1.129219742,12.77580789,1.422299628,0.34373693,112.5274021,10317
2010,Danny Santana,MIN,LEVEL,19,144,0.04861111,0.27777778,0.175,0.23846154,0.28873239,0.31538462,0.60411701,0.07692308,7.996075713,0.33695652,0.247159342,12.11749628,-5.76874373,0.281290864,67.74758849,10322
2011,Danny Santana,MIN,LEVEL,20,409,0.06112469,0.2396088,0.25510204,0.24657534,0.29824561,0.37260274,0.67084835,0.1260274,7.755443737,0.31320755,-1.50236461,43.50415754,-4.297717583,0.307924614,91.00931172,10322
2011,Rafael Ortega,COL,LEVEL,20,519,0.0539499,0.1734104,0.31111111,0.29436326,0.33463035,0.43841336,0.77304371,0.1440501,7.585148812,0.34375,-2.027587861,71.43184841,6.531419999,0.34613529,110.0637548,10323
2010,Marcell Ozuna,FLA,LEVEL,19,27,0.07407407,0.37037037,0.2,0.16,0.22222222,0.28,0.50222222,0.12,2.017857143,0.21428571,0.000420713,1.408660273,-1.82650665,0.235163294,43.54212029,10324
2011,Marcell Ozuna,FLA,LEVEL,20,552,0.08333333,0.2192029,0.38016529,0.26612903,0.32967033,0.48185484,0.81152517,0.21572581,6.998707871,0.3079096,2.387341205,81.94564457,12.91859932,0.359581664,118.7152721,10324
2010,Ramon Cabrera,PIT,LEVEL,20,372,0.05913978,0.11290323,0.52380952,0.26900585,0.31165312,0.34210526,0.65375838,0.07309941,4.892182811,0.30033003,-1.06238634,38.54756089,-6.025850041,0.301547519,86.48106592,10327
2010,Rey Fuentes,BOS,LEVEL,19,414,0.06038647,0.21014493,0.28735632,0.27005348,0.32762836,0.37700535,0.70463371,0.10695187,8.851951881,0.33802817,6.321007477,50.16705266,0.561159854,0.324196893,101.1312363,10329
2010,Slade Heathcott,NYY,LEVEL,19,351,0.11965812,0.28774929,0.41584158,0.25838926,0.3591954,0.35234899,0.71154439,0.09395973,6.265469482,0.38071066,-1.167493365,45.43094156,3.373771567,0.334849912,108.0218702,10336
2011,Slade Heathcott,NYY,LEVEL,20,237,0.08016878,0.24050633,0.33333333,0.27142857,0.34188034,0.41904762,0.76092796,0.14761905,6.637156051,0.35333333,-1.920913493,32.56772079,2.931108966,0.345865489,109.8901622,10336
2015,Slade Heathcott,NYY,LEVEL,24,9,0,0,0,0.22222222,0.22222222,0.22222222,0.44444444,0,0.142857143,0.22222222,-0.00466996,0.253879721,-0.80631127,0.206806448,23.94660236,10336
2010,Scooter Gennett,MIL,LEVEL,20,526,0.05893536,0.1730038,0.34065934,0.30912863,0.35440613,0.4626556,0.81706173,0.15352697,6.260129066,0.3626943,1.004089318,80.83592264,15.50146262,0.368927273,123.7263193,10339
2015,Scooter Gennett,MIL,LEVEL,25,15,0.06666667,0,1,0.30769231,0.33333333,0.46153846,0.79487179,0.15384615,5.186965247,0.28571429,0.197417834,2.027143062,0.349858076,0.352201732,120.8585946,10339
2011,Gift Ngoepe,PIT,LEVEL,21,93,0.07526882,0.15053763,0.5,0.30588235,0.35869565,0.45882353,0.81751918,0.15294118,5.73929733,0.34782609,-0.736212285,14.49353792,2.863981382,0.368769404,124.6267463,10340
2010,John Ryan Murphy,NYY,LEVEL,19,374,0.09625668,0.17112299,0.5625,0.25454545,0.32707775,0.37575758,0.70283533,0.12121213,3.821910138,0.29166667,-1.279834062,45.31316518,0.500112256,0.324173333,101.1159968,10346
2011,John Ryan Murphy,NYY,LEVEL,20,277,0.06859206,0.13718412,0.5,0.296875,0.34296029,0.45703125,0.79999154,0.16015625,2.987430631,0.3271028,0.324807358,40.60821606,5.969644442,0.357279587,117.2340953,10346
2010,Mike Ohlman,BAL,LEVEL,19,132,0.12121212,0.25757576,0.47058824,0.17431193,0.28461538,0.28440367,0.56901905,0.11009174,3.602765535,0.22368421,0.202440138,10.67793127,-5.138440348,0.2722209,67.51188912,10347
2011,Mike Ohlman,BAL,LEVEL,20,431,0.11136891,0.22273782,0.5,0.224,0.32018561,0.30666667,0.62685228,0.08266667,2.62229549,0.28880866,-0.806874793,42.7060084,-11.19010846,0.298224674,79.23763509,10347
2012,Mike Ohlman,BAL,LEVEL,21,209,0.15789474,0.1291866,1.22222222,0.30409357,0.41148325,0.45614035,0.8676236,0.15204678,3.45051132,0.34246575,-0.718186689,37.00483353,10.9176619,0.398401056,141.8506922,10347
2010,Domingo Santana,PHI,LEVEL,17,202,0.14356436,0.37623762,0.38157895,0.18181818,0.32178218,0.2969697,0.61875188,0.11515152,4.04984729,0.30681818,-1.501320628,20.80266173,-3.401179685,0.300723035,85.94776909,10348
2011,Domingo Santana,PHI,LEVEL,18,391,0.06649616,0.30690537,0.21666667,0.26857143,0.34526854,0.43428571,0.77955425,0.16571428,5.483623941,0.39013453,0.25780948,55.56024297,6.666085923,0.351683786,113.6337066,10348
2011,Domingo Santana,HOU,LEVEL,18,76,0.07894737,0.19736842,0.4,0.38235294,0.44736842,0.66176471,1.10913313,0.27941177,3.628790008,0.4375,0.171079754,19.13156604,9.627842417,0.487945948,201.3060017,10348
2016,Domingo Santana,MIL,LEVEL,23,28,0.14285714,0.17857143,0.8,0.17391304,0.32142857,0.30434783,0.6257764,0.13043479,2.19642858,0.17647059,0.001863128,2.920621398,-0.122726587,0.310186957,95.96738238,10348
2010,Tommy Joseph,SFG,LEVEL,18,473,0.05496829,0.24524313,0.22413793,0.23623853,0.28964059,0.40137615,0.69101674,0.16513762,1.677149205,0.28338762,0.00807769,52.9916515,-3.683680139,0.312399483,93.50038186,10349
2016,Daniel Fields,LAD,LEVEL,25,19,0.05263158,0.31578947,0.16666667,0.22222222,0.26315789,0.38888889,0.65204678,0.16666667,1.080357143,0.27272727,0.000931564,1.890614648,-0.174514341,0.303573097,91.54947017,10390
2010,Wilfredo Tovar,NYM,LEVEL,18,173,0.04624277,0.06936416,0.66666667,0.28125,0.32748538,0.34375,0.67123538,0.0625,2.631691729,0.30405405,-1.284209477,19.45827887,-1.270753627,0.312970441,93.86969157,10416
