Season,Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
2010,David Eckstein,SDP,LEVEL,35,3,9,12,3,2,1,0,0,1,3,2,0,0,1,0,0,0,0,0,0.33333333,10
2009,Aramis Ramirez,CHC,LEVEL,31,3,6,9,3,2,1,0,0,2,1,3,0,0,0,0,0,1,0,0,0.5,1002
2010,Aramis Ramirez,CHC,LEVEL,32,2,6,8,1,1,0,0,0,1,1,2,1,2,0,0,0,0,0,0,0.16666667,1002
2014,Aramis Ramirez,MIL,LEVEL,36,2,6,6,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.33333333,1002
2010,Christian Bethancourt,ATL,LEVEL,18,108,399,420,100,76,19,2,3,31,34,14,1,62,2,5,0,6,11,3,0.25062657,10028
2011,Christian Bethancourt,ATL,LEVEL,19,54,221,235,67,50,10,3,4,25,33,8,0,27,1,5,0,4,6,3,0.30316742,10028
2010,Chris Owings,ARI,LEVEL,18,62,255,271,76,50,19,2,5,39,28,9,0,50,2,3,2,7,1,3,0.29803922,10030
2008,Pokey Reese,WSN,LEVEL,35,5,16,18,4,3,0,0,1,4,1,2,0,1,0,0,0,0,0,0,0.25,1004
2010,Wil Myers,KCR,LEVEL,19,68,242,294,70,40,19,1,10,42,45,48,0,55,2,2,0,4,10,3,0.2892562,10047
2010,Max Stassi,OAK,LEVEL,19,110,411,465,94,59,21,1,13,54,51,45,1,141,5,3,1,12,3,3,0.22871046,10059
2011,Tomas Telis,TEX,LEVEL,20,115,461,494,137,98,28,0,11,67,69,18,0,35,6,4,5,17,12,6,0.29718004,10067
2010,Jonathan Villar,PHI,LEVEL,19,100,371,420,101,77,18,4,2,61,36,26,1,103,8,2,13,5,38,13,0.2722372,10071
2017,Jonathan Villar,MIL,LEVEL,26,4,13,15,8,6,1,1,0,2,6,1,0,3,0,1,0,0,0,1,0.61538462,10071
2011,Donald Lutz,CIN,LEVEL,22,123,465,506,140,94,23,3,20,85,75,34,4,125,7,0,0,8,5,4,0.30107527,10154
2009,Mike Trout,LAA,LEVEL,17,5,15,20,4,4,0,0,0,1,0,4,0,6,0,0,1,0,0,0,0.26666667,10155
2010,Mike Trout,LAA,LEVEL,18,81,312,368,113,81,19,7,6,76,39,46,2,52,7,1,2,1,45,9,0.36217949,10155
2010,Nick Franklin,SEA,LEVEL,19,129,513,574,144,92,22,7,23,89,65,50,4,123,7,2,2,4,25,10,0.28070175,10166
2011,Billy Hamilton,CIN,LEVEL,20,135,550,610,153,123,18,9,3,99,50,52,0,133,1,3,4,5,103,20,0.27818182,10199
2011,Tucker Barnhart,CIN,LEVEL,20,97,326,372,89,60,24,2,3,47,43,37,0,59,1,5,3,9,2,1,0.27300613,10200
2010,Randal Grichuk,LAA,LEVEL,18,52,202,214,59,29,19,4,7,41,36,9,0,50,2,1,0,2,4,0,0.29207921,10243
2011,Randal Grichuk,LAA,LEVEL,19,32,122,131,28,15,7,4,2,12,13,6,0,29,1,2,0,1,0,1,0.2295082,10243
2010,Francisco Arcia,NYY,LEVEL,20,17,51,58,16,12,4,0,0,2,3,7,0,8,0,0,0,3,1,0,0.31372549,10286
2011,Francisco Arcia,NYY,LEVEL,21,3,7,9,3,2,1,0,0,1,2,2,0,2,0,0,0,0,0,0,0.42857143,10286
