Season,Name,Team,Level,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,PlayerId
2010,Alfredo Amezaga,LAD,LEVEL,32,4,0.25,0,1,1,1,1,2,0,1.601190455,1,-0.001064108,2.062748025,1.585328023,0.83663848,432.0615005,1
2006,Matt Blank,FLA,LEVEL,30,1,0,1,0,0,0,0,0,0,0.142857143,0,0,-0.129149245,-0.235144244,0,-100,1001053
2010,Mike Minor,ATL,LEVEL,22,17,0,0.58823529,0,0,0,0,0,0,0.142857143,0,0,-2.453621855,-4.482656864,0,-100,10021
2014,Mike Minor,ATL,LEVEL,26,3,0.33333333,0,1,0,0.5,0,0.5,0,0.142857143,0,-0.000645337,0.421942016,0.078622011,0.360235006,122.900504,10021
2006,Michael Coleman,TBD,LEVEL,30,485,0.08453608,0.19175258,0.44086022,0.23908046,0.31340206,0.42758621,0.74098827,0.18850575,4.566941952,0.26605505,0.992404942,57.57131941,6.163744695,0.336098577,111.9899543,1002429
2012,Christian Bethancourt,ATL,LEVEL,20,288,0.03819444,0.15625,0.24444444,0.24253731,0.27464789,0.29104478,0.56569267,0.04850747,4.829268193,0.28125,-0.924899492,18.11253554,-14.41994542,0.265495365,55.67523597,10028
2013,Christian Bethancourt,ATL,LEVEL,21,388,0.04123711,0.14690722,0.28070175,0.27653631,0.30548303,0.43575419,0.74123722,0.15921788,3.740830204,0.29391892,-0.73818885,46.21042875,4.829840485,0.334872384,111.671754,10028
2014,Patrick Schuster,ARI,LEVEL,23,2,0,0.5,0,0,0,0,0,0,0.142857143,0,0,-0.273719926,-0.502599929,0,-100,10029
2015,Patrick Schuster,ARI,LEVEL,24,1,0,1,0,0,0,0,0,0,0.142857143,0,0,-0.134390581,-0.245827581,0,-100,10029
2015,Patrick Schuster,CIN,LEVEL,24,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0,0,-100,10029
2006,Tike Redman,HOU,LEVEL,29,121,0.1322314,0.04958678,2.66666667,0.31067961,0.40833333,0.36893204,0.77726537,0.05825243,3.928085675,0.32291667,0.068076452,17.87770631,2.46037034,0.365540501,115.9584661,1003
2012,Chris Owings,ARI,LEVEL,20,310,0.03548387,0.22258065,0.15942029,0.26262626,0.29126214,0.37710438,0.66836652,0.11447812,5.051934571,0.32432432,-0.528260628,29.53450347,-5.483097559,0.308108253,84.34188123,10030
2012,Keyvius Sampson,SDP,LEVEL,21,12,0,0.41666667,0,0,0,0,0,0,0.142857143,0,0,-1.642605385,-3.051825395,0,-100,10039
