"Season","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+"
"2005","86670","7.9%","15.8%","0.50",".268",".331",".425",".756",".157","4.5",".296","27.3","7.7","-0.6","10584","196.3",".329","100"
"2006","87359","8.3%","16.1%","0.51",".275",".340",".438",".778",".162","4.5",".305","-32.7","-7.1","-0.5","11283","320.2",".336","100"
"2007","87493","8.6%","16.7%","0.51",".271",".338",".424",".762",".153","4.6",".305","1.0","2.1","-14.8","10974","154.7",".333","100"
"2008","87304","8.6%","16.8%","0.51",".268",".336",".421",".757",".153","4.6",".302","-29.8","-8.1","-0.7","10756","246.1",".332","100"
"2009","87211","8.8%","17.4%","0.51",".267",".336",".429",".765",".162","4.7",".300","-14.5","4.9","24.7","10893","440.4",".335","100"
"2010","86434","8.5%","17.5%","0.49",".260",".328",".408",".736",".147","4.6",".296","-28.4","-9.7","18.7","10171","243.9",".325","100"
"2011","86171","8.1%","17.9%","0.45",".258",".323",".409",".732",".150","4.7",".294","2.2","-6.4","1.5","10034","353.6",".321","100"
"2012","85797","8.0%","19.2%","0.42",".256",".320",".412",".733",".156","4.7",".293","-22.7","-15.0","10.1","10034","242.0",".319","100"
"2013","92401","8.1%","19.7%","0.41",".256",".321",".406",".726",".149","4.2",".298","-7.2","19.1","11.8","10499","374.5",".319","100"
"2014","91834","7.7%","19.7%","0.39",".254",".316",".391",".708",".138","4.5",".298","6.9","4.7","11.0","10095","227.8",".313","100"
"2015","91485","7.7%","19.8%","0.39",".256",".318",".413",".732",".157","4.3",".296","-41.5","18.1","-13.8","10588","300.0",".317","100"
"2016","91672","8.0%","20.7%","0.39",".257",".322",".424",".746",".166","4.3",".299","-19.9","-19.7","-2.2","11009","207.2",".321","100"
"2017","92265","8.4%","21.3%","0.40",".256",".325",".430",".754",".174","4.2",".298","-4.8","-8.8","5.4","11386","139.3",".323","100"
"2018","91924","8.3%","21.8%","0.38",".250",".319",".417",".735",".167","4.5",".294","-32.0","-8.3","9.3","10991","249.5",".318","100"
"2019","92956","8.5%","22.9%","0.37",".254",".323",".440",".763",".186","4.4",".299","-3.6","6.8","-6.4","11884","185.2",".322","100"
