Season,Name,Team,Level,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,PlayerId
2009,Alfredo Amezaga,FLA,LEVEL,31,11,0.18181818,0.09090909,2,0.33333333,0.45454545,0.33333333,0.78787878,0,0.142857143,0.375,-0.01509025,1.74588551,0.531265471,0.385480371,143.7392315,1
2008,David Eckstein,TOR,LEVEL,33,17,0.11764706,0.05882353,2,0.14285714,0.29411765,0.21428571,0.50840336,0.07142857,2.642857143,0.15384615,0.002633388,1.101912353,-0.829882708,0.262063707,57.04085156,10
2011,Christian Bethancourt,ATL,LEVEL,19,175,0.01714286,0.2,0.08571429,0.27108434,0.27745665,0.3253012,0.60275785,0.05421686,2.703463495,0.32835821,-0.2636131,13.30206738,-6.579333083,0.271450643,66.90709443,10028
2011,Chris Owings,ARI,LEVEL,19,555,0.02702703,0.23423423,0.11538462,0.24568138,0.27422303,0.38771593,0.66193896,0.14203455,6.25298663,0.3046875,0.186500224,50.4391945,-28.06721934,0.290343556,64.24850153,10030
2012,Chris Owings,ARI,LEVEL,20,257,0.05058366,0.24513619,0.20634921,0.32365145,0.3618677,0.54356846,0.90543616,0.21991701,6.820793996,0.39880952,0.162482447,46.47841594,11.03246095,0.390020813,131.1247389,10030
2015,Wil Myers,SDP,LEVEL,24,12,0.16666667,0.16666667,1,0.22222222,0.41666667,0.33333333,0.75,0.11111111,2.642857143,0.28571429,0.002764108,1.892314485,0.364186517,0.362362251,123.8322002,10047
2018,Wil Myers,SDP,LEVEL,27,15,0.06666667,0.2,0.33333333,0.14285714,0.2,0.57142857,0.77142857,0.42857143,0.142857143,0,7.76581E-05,1.734848234,-0.154461799,0.317919004,91.82443348,10047
2010,Wil Myers,KCR,LEVEL,19,247,0.14979757,0.15789474,0.94871795,0.34634146,0.4534413,0.51219512,0.96563642,0.16585366,3.240877955,0.41104294,-0.659713238,50.75417891,21.18753734,0.437040828,171.6602773,10047
2009,Grant Green,OAK,LEVEL,21,20,0.05,0.25,0.2,0.31578947,0.35,0.36842105,0.71842105,0.05263158,5.078203425,0.42857143,0.216524123,2.457015328,-0.181024559,0.328624552,93.13791426,10053
2010,Grant Green,OAK,LEVEL,22,606,0.06270627,0.19306931,0.32478632,0.31751825,0.36318408,0.52007299,0.88325707,0.20255474,5.91396785,0.36579572,-0.211904075,101.6130321,20.5387204,0.38213623,125.3332036,10053
