"Season","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+"
"2005","93497","8.8%","16.1%","0.55",".268",".339",".428",".767",".159","4.4",".299","-27.0","-7.9","1.9","11742","536.3",".333","100"
"2006","94664","8.9%","16.4%","0.54",".272",".343",".442",".785",".170","4.8",".302","33.8","5.7","1.5","12379","499.0",".338","100"
"2007","95178","8.8%","16.4%","0.54",".273",".342",".436",".778",".163","4.6",".304","-1.0","-1.2","17.5","12359","589.1",".338","100"
"2008","94351","9.1%","17.1%","0.53",".267",".339",".426",".766",".159","4.5",".301","30.6","7.3","3.4","11845","486.9",".335","100"
"2009","93840","9.3%","17.5%","0.53",".266",".339",".422",".761",".156","4.7",".302","16.1","-4.6","-21.9","11550","303.4",".333","100"
"2010","93061","8.8%","18.5%","0.48",".262",".332",".413",".745",".151","4.4",".302","29.2","8.2","-16.8","11152","463.3",".327","100"
"2011","93114","8.4%","18.3%","0.46",".259",".326",".403",".730",".144","4.6",".299","-1.1","6.4","2.3","10756","295.3",".320","100"
"2012","92469","8.3%","19.2%","0.43",".261",".327",".414",".740",".153","4.9",".303","24.1","14.6","-5.9","11021","468.2",".321","100"
"2013","86959","8.0%","19.0%","0.42",".258",".323",".401",".723",".143","4.3",".300","7.8","-20.7","-9.9","9781","252.8",".318","100"
"2014","86575","7.8%","20.0%","0.39",".256",".320",".396",".716",".139","4.4",".304","-6.6","-4.6","-8.6","9719","416.7",".316","100"
"2015","86736","7.9%","19.9%","0.40",".260",".324",".410",".734",".150","4.6",".306","41.4","-18.7","15.5","10108","354.0",".318","100"
"2016","87545","8.6%","20.5%","0.42",".260",".330",".425",".756",".165","4.7",".305","20.2","19.3","3.5","10784","468.8",".325","100"
"2017","87753","9.0%","21.0%","0.43",".261",".334",".437",".771",".176","4.4",".305","5.4","7.7","-4.2","11282","585.4",".329","100"
"2018","88080","9.0%","21.6%","0.42",".254",".327",".417",".744",".163","4.4",".301","33.0","8.3","-9.3","10754","461.6",".321","100"
"2019","88387","8.9%","21.9%","0.41",".258",".331",".445",".776",".187","4.5",".300","3.1","-8.3","8.2","11665","540.8",".327","100"
