Season,Team,Basic,1B,2B,3B,HR,SO,BB,GB,FB,LD,IFFB,FIP
2005,Angels,98,102,100,90,95,100,99,100,101,98,97,98
2005,Orioles,99,101,97,89,103,97,101,101,102,100,103,103
2005,Red Sox,104,101,113,97,95,98,100,101,99,102,99,98
2005,White Sox,103,99,98,89,113,100,101,100,102,99,103,105
2005,Indians,98,99,100,84,94,101,102,101,95,100,96,97
2005,Tigers,98,102,95,120,97,98,100,101,101,102,104,100
2005,Royals,103,102,106,104,95,96,102,101,101,103,98,100
2005,Twins,99,100,99,104,95,103,97,99,99,99,98,97
2005,Yankees,99,101,95,85,102,100,97,99,101,99,99,100
2005,Athletics,97,98,99,94,97,96,99,100,101,100,102,100
2005,Mariners,96,97,96,87,98,104,102,97,101,96,103,99
2005,Devil Rays,98,99,97,106,99,101,101,100,101,99,103,100
2005,Rangers,105,101,103,118,105,100,99,101,100,103,100,102
2005,Blue Jays,102,98,104,107,108,102,99,100,99,100,99,102
2005,Diamondbacks,105,100,105,128,108,98,102,101,101,102,97,103
2005,Braves,99,100,96,96,98,101,101,98,99,102,97,99
2005,Cubs,103,100,103,102,106,102,101,100,101,99,100,102
2005,Reds,101,98,100,78,109,100,99,98,102,100,103,103
2005,Rockies,110,107,107,124,109,96,102,103,100,109,99,105
2005,Marlins,97,99,97,113,95,105,104,98,101,97,104,98
2005,Astros,100,99,96,115,105,101,98,100,100,98,99,101
2005,Dodgers,98,99,96,78,104,102,100,99,99,96,101,100
2005,Brewers,101,96,100,98,104,102,103,98,101,98,106,101
2005,Nationals,96,98,98,102,91,100,97,98,102,97,107,97
2005,Mets,98,101,100,88,94,100,100,101,100,99,102,98
2005,Phillies,102,100,99,97,109,99,98,101,98,103,98,103
2005,Pirates,99,102,105,95,94,98,98,101,100,104,97,98
2005,Cardinals,98,100,100,90,96,100,100,99,101,99,101,98
2005,Padres,92,97,91,107,90,103,99,98,99,96,98,96
2005,Giants,100,103,101,114,92,98,98,103,97,101,94,97
2006,Angels,99,102,100,90,97,99,98,101,102,98,96,99
2006,Orioles,101,102,97,89,106,97,100,101,102,100,101,103
2006,Red Sox,103,100,116,94,94,99,100,101,99,101,98,98
2006,White Sox,104,100,97,85,114,100,102,100,101,100,102,105
2006,Indians,99,100,100,85,94,100,104,101,96,101,100,98
2006,Tigers,100,102,96,119,99,98,99,101,101,102,104,100
2006,Royals,100,101,105,103,92,97,101,101,100,101,95,99
2006,Twins,98,99,98,100,95,102,96,99,99,100,96,97
2006,Yankees,100,100,97,88,103,101,98,99,101,99,99,100
2006,Athletics,98,98,99,93,97,97,100,100,102,100,103,100
2006,Mariners,96,98,98,86,97,105,102,98,101,96,104,98
2006,Devil Rays,98,99,95,108,99,100,101,99,100,98,104,100
2006,Rangers,104,101,102,124,105,100,100,100,100,103,100,102
2006,Blue Jays,101,98,102,117,106,103,100,100,98,101,100,101
2006,Diamondbacks,105,101,105,126,107,98,101,102,101,101,96,103
2006,Braves,100,101,98,98,99,101,101,99,100,102,99,99
2006,Cubs,104,100,103,99,108,101,99,100,100,99,98,102
2006,Reds,102,98,100,85,109,100,99,99,102,98,102,103
2006,Rockies,109,107,106,117,108,96,101,103,99,110,100,104
2006,Marlins,98,98,99,111,96,105,104,97,100,98,103,98
2006,Astros,99,99,98,106,105,101,99,100,100,99,98,101
2006,Dodgers,98,99,96,79,101,102,100,99,99,97,99,99
2006,Brewers,100,97,99,100,101,103,104,98,100,98,105,100
2006,Nationals,96,98,98,102,91,100,97,98,102,97,107,97
2006,Mets,97,99,98,87,96,100,100,101,100,96,102,99
2006,Phillies,102,100,99,97,109,99,98,101,98,103,98,103
2006,Pirates,98,102,105,96,93,98,98,101,100,106,97,98
2006,Cardinals,97,101,97,95,92,98,101,100,100,101,105,98
2006,Padres,92,97,91,107,90,103,99,98,99,96,98,96
2006,Giants,101,101,102,115,93,98,99,103,97,101,96,98
2007,Angels,100,101,101,91,98,98,98,100,102,98,96,99
2007,Orioles,100,103,97,91,107,98,100,102,102,100,99,103
2007,Red Sox,103,99,116,99,94,98,99,101,99,101,100,97
2007,White Sox,103,99,97,85,112,101,103,99,100,100,101,105
2007,Indians,98,100,99,82,94,100,102,101,97,101,102,98
2007,Tigers,101,101,98,114,100,98,100,100,102,100,105,101
2007,Royals,102,102,108,104,93,96,102,102,100,102,95,99
2007,Twins,98,99,99,104,96,101,96,99,99,100,97,97
2007,Yankees,100,100,97,88,103,101,98,99,101,99,99,100
2007,Athletics,97,98,98,96,95,97,99,100,101,100,103,99
2007,Mariners,97,100,97,89,96,104,102,99,101,96,104,98
2007,Devil Rays,99,99,96,111,98,101,100,99,100,99,105,99
2007,Rangers,103,101,102,122,106,100,100,100,100,102,97,102
2007,Blue Jays,100,97,102,116,105,103,99,100,98,100,98,101
2007,Diamondbacks,106,101,106,128,105,97,101,102,100,101,97,103
2007,Braves,99,101,98,101,97,101,102,99,100,104,99,99
2007,Cubs,104,100,103,99,105,101,99,100,100,99,98,101
2007,Reds,104,99,102,90,111,101,101,99,102,99,99,104
2007,Rockies,108,106,106,118,107,96,100,104,98,109,96,104
2007,Marlins,99,99,100,106,97,105,104,98,100,99,102,99
2007,Astros,99,100,98,102,105,102,99,100,100,100,99,101
