Season,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,UBR,wGDP,wSB,wRC,wRAA,wOBA,wRC+,lg_id
2005,93497,8.80%,16.10%,0.55,0.268,0.339,0.428,0.767,0.159,4.4,0.299,-27,-7.9,1.9,11742,536.3,0.333,100,NL
2006,94664,8.90%,16.40%,0.54,0.272,0.343,0.442,0.785,0.17,4.8,0.302,33.8,5.7,1.5,12379,499,0.338,100,NL
2007,95178,8.80%,16.40%,0.54,0.273,0.342,0.436,0.778,0.163,4.6,0.304,-1,-1.2,17.5,12359,589.1,0.338,100,NL
2008,94351,9.10%,17.10%,0.53,0.267,0.339,0.426,0.766,0.159,4.5,0.301,30.6,7.3,3.4,11845,486.9,0.335,100,NL
2009,93840,9.30%,17.50%,0.53,0.266,0.339,0.422,0.761,0.156,4.7,0.302,16.1,-4.6,-21.9,11550,303.4,0.333,100,NL
2010,93061,8.80%,18.50%,0.48,0.262,0.332,0.413,0.745,0.151,4.4,0.302,29.2,8.2,-16.8,11152,463.3,0.327,100,NL
2011,93114,8.40%,18.30%,0.46,0.259,0.326,0.403,0.73,0.144,4.6,0.299,-1.1,6.4,2.3,10756,295.3,0.32,100,NL
2012,92469,8.30%,19.20%,0.43,0.261,0.327,0.414,0.74,0.153,4.9,0.303,24.1,14.6,-5.9,11021,468.2,0.321,100,NL
2013,86959,8.00%,19.00%,0.42,0.258,0.323,0.401,0.723,0.143,4.3,0.3,7.8,-20.7,-9.9,9781,252.8,0.318,100,NL
2014,86575,7.80%,20.00%,0.39,0.256,0.32,0.396,0.716,0.139,4.4,0.304,-6.6,-4.6,-8.6,9719,416.7,0.316,100,NL
2015,86736,7.90%,19.90%,0.4,0.26,0.324,0.41,0.734,0.15,4.6,0.306,41.4,-18.7,15.5,10108,354,0.318,100,NL
2016,87545,8.60%,20.50%,0.42,0.26,0.33,0.425,0.756,0.165,4.7,0.305,20.2,19.3,3.5,10784,468.8,0.325,100,NL
2017,87753,9.00%,21.00%,0.43,0.261,0.334,0.437,0.771,0.176,4.4,0.305,5.4,7.7,-4.2,11282,585.4,0.329,100,NL
2018,88080,9.00%,21.60%,0.42,0.254,0.327,0.417,0.744,0.163,4.4,0.301,33,8.3,-9.3,10754,461.6,0.321,100,NL
2019,88387,8.90%,21.90%,0.41,0.258,0.331,0.445,0.776,0.187,4.5,0.3,3.1,-8.3,8.2,11665,540.8,0.327,100,NL
2005,86670,7.90%,15.80%,0.5,0.268,0.331,0.425,0.756,0.157,4.5,0.296,27.3,7.7,-0.6,10584,196.3,0.329,100,AL
2006,87359,8.30%,16.10%,0.51,0.275,0.34,0.438,0.778,0.162,4.5,0.305,-32.7,-7.1,-0.5,11283,320.2,0.336,100,AL
2007,87493,8.60%,16.70%,0.51,0.271,0.338,0.424,0.762,0.153,4.6,0.305,1,2.1,-14.8,10974,154.7,0.333,100,AL
2008,87304,8.60%,16.80%,0.51,0.268,0.336,0.421,0.757,0.153,4.6,0.302,-29.8,-8.1,-0.7,10756,246.1,0.332,100,AL
2009,87211,8.80%,17.40%,0.51,0.267,0.336,0.429,0.765,0.162,4.7,0.3,-14.5,4.9,24.7,10893,440.4,0.335,100,AL
2010,86434,8.50%,17.50%,0.49,0.26,0.328,0.408,0.736,0.147,4.6,0.296,-28.4,-9.7,18.7,10171,243.9,0.325,100,AL
2011,86171,8.10%,17.90%,0.45,0.258,0.323,0.409,0.732,0.15,4.7,0.294,2.2,-6.4,1.5,10034,353.6,0.321,100,AL
2012,85797,8.00%,19.20%,0.42,0.256,0.32,0.412,0.733,0.156,4.7,0.293,-22.7,-15,10.1,10034,242,0.319,100,AL
2013,92401,8.10%,19.70%,0.41,0.256,0.321,0.406,0.726,0.149,4.2,0.298,-7.2,19.1,11.8,10499,374.5,0.319,100,AL
2014,91834,7.70%,19.70%,0.39,0.254,0.316,0.391,0.708,0.138,4.5,0.298,6.9,4.7,11,10095,227.8,0.313,100,AL
2015,91485,7.70%,19.80%,0.39,0.256,0.318,0.413,0.732,0.157,4.3,0.296,-41.5,18.1,-13.8,10588,300,0.317,100,AL
2016,91672,8.00%,20.70%,0.39,0.257,0.322,0.424,0.746,0.166,4.3,0.299,-19.9,-19.7,-2.2,11009,207.2,0.321,100,AL
2017,92265,8.40%,21.30%,0.4,0.256,0.325,0.43,0.754,0.174,4.2,0.298,-4.8,-8.8,5.4,11386,139.3,0.323,100,AL
2018,91924,8.30%,21.80%,0.38,0.25,0.319,0.417,0.735,0.167,4.5,0.294,-32,-8.3,9.3,10991,249.5,0.318,100,AL
2019,92956,8.50%,22.90%,0.37,0.254,0.323,0.44,0.763,0.186,4.4,0.299,-3.6,6.8,-6.4,11884,185.2,0.322,100,AL
