Season,Name,Team,Level,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,PlayerId
2006,John Barnes,BOS,LEVEL,30,1,4,3.230769231,9,5,0,0,0,0,,39,175,27,20,14,2,28,0,6,6,0,33,1000567
2010,Taylor Thompson,CHW,LEVEL,23,0,1,2.197671835,18,0,0,0,6,1,,28.2,118,24,9,7,0,10,2,1,3,0,32,10019
2009,Mike Minor,ATL,LEVEL,21,0,1,0.642857143,4,4,0,0,0,0,,14,48,10,1,1,0,0,0,0,0,0,17,10021
2014,Mike Minor,ATL,LEVEL,26,0,0,0,1,1,0,0,0,0,,5,17,1,0,0,0,1,0,0,0,0,4,10021
2011,Patrick Schuster,ARI,LEVEL,20,7,4,3.327731092,27,14,0,0,0,1,,119,493,106,52,44,7,41,0,9,3,1,84,10029
2011,Keyvius Sampson,SDP,LEVEL,20,12,3,2.898305085,24,24,0,0,0,0,,118,481,81,42,38,8,49,0,6,7,2,143,10039
2011,Ashur Tolliver,BAL,LEVEL,23,1,2,2.268905745,24,0,0,0,0,1,,39.2,164,35,10,10,3,16,2,0,5,0,41,10044
2013,Ashur Tolliver,BAL,LEVEL,25,0,0,3.63462245,7,0,0,0,1,0,,17.1,70,15,7,7,2,5,0,0,1,0,20,10044
2010,Tyler Matzek,COL,LEVEL,19,5,1,2.921642955,18,18,0,0,0,0,,89.1,376,62,31,29,6,62,0,4,7,3,88,10058
2011,Tyler Matzek,COL,LEVEL,20,5,4,4.359375,12,12,0,0,0,0,,64,279,45,35,31,3,50,0,2,14,0,74,10058
2009,Johnny Hellweg,LAA,LEVEL,20,0,0,1.349999356,5,0,0,0,2,0,,6.2,34,4,3,1,0,7,0,2,2,0,7,10065
2010,Johnny Hellweg,LAA,LEVEL,21,2,4,4.328241124,41,0,0,0,16,3,,43.2,201,20,21,21,2,45,0,4,9,0,66,10065
2013,Johnny Hellweg,MIL,LEVEL,24,1,0,3,1,1,0,0,0,0,,6,26,5,2,2,0,2,0,1,0,0,4,10065
2010,Ian Krol,OAK,LEVEL,19,9,4,2.65448693,24,23,0,0,0,0,,118.2,476,98,42,35,5,19,1,7,2,3,91,10066
2014,Ian Krol,DET,LEVEL,23,0,0,0,1,0,0,0,0,0,,1,3,0,0,0,0,0,0,0,0,0,1,10066
2012,Caleb Cotham,NYY,LEVEL,24,3,1,2.307692308,8,8,0,0,0,0,,39,149,32,11,10,1,7,0,0,0,0,32,10075
2010,Caleb Thielbar,MIL,LEVEL,23,0,2,5.603773585,30,0,0,0,3,1,,53,241,65,41,33,6,14,3,0,0,0,43,10078
2011,Keith Butler,STL,LEVEL,22,0,1,1.173915623,12,0,0,0,5,0,,15.1,57,7,2,2,0,5,1,0,1,0,16,10080
2011,Stephen Strasburg,WSN,LEVEL,22,0,1,9.947373414,3,3,0,0,0,0,,6.1,33,9,8,7,1,3,0,1,1,0,13,10131
2010,Ryan Weber,ATL,LEVEL,19,2,5,5.128488888,18,6,0,0,0,1,,59.2,264,74,45,34,5,14,0,2,2,0,39,10160
2011,Ryan Weber,ATL,LEVEL,20,2,0,2.679387362,13,6,0,0,2,0,,43.2,174,36,15,13,2,8,0,4,1,2,32,10160
2012,Ryan Weber,ATL,LEVEL,21,5,5,5.875,16,11,0,0,0,0,,72,318,86,52,47,4,16,0,4,0,0,54,10160
2010,Jose Ramirez,NYY,LEVEL,20,6,5,3.6,22,21,0,0,0,0,,115,501,106,56,46,3,42,0,9,20,0,105,10171
2011,Jose Ramirez,NYY,LEVEL,21,5,7,4.898734177,15,15,0,0,0,0,,79,347,84,51,43,9,32,0,4,6,1,74,10171
2010,Edgar Olmos,FLA,LEVEL,20,3,9,4.372171505,25,25,0,0,0,0,,117.1,533,122,68,57,9,59,0,16,7,2,108,10174
2009,Melvin Mercedes,DET,LEVEL,18,0,1,11.57144552,3,0,0,0,0,0,,2.1,12,1,4,3,0,3,0,0,0,0,1,10181
2010,Melvin Mercedes,DET,LEVEL,19,1,2,5.03388968,15,0,0,0,3,0,,19.2,94,16,11,11,0,19,1,3,2,0,12,10181
2011,Melvin Mercedes,DET,LEVEL,20,0,0,10.79997863,2,0,0,0,0,0,,1.2,10,3,2,2,0,1,0,1,0,0,1,10181
2012,Melvin Mercedes,DET,LEVEL,21,0,3,2.79792901,37,0,0,0,9,1,,64.1,261,54,25,20,3,23,0,2,4,1,43,10181
2010,Jacob Turner,DET,LEVEL,19,2,3,3.666666667,11,10,0,0,0,0,,54,228,53,26,22,4,9,0,1,1,0,51,10185
2010,Tyler Skaggs,LAA,LEVEL,18,8,4,3.607289009,19,14,0,0,0,0,,82.1,341,78,35,33,6,21,1,4,1,1,82,10190
2010,Tyler Skaggs,ARI,LEVEL,18,1,1,1.6875,4,4,0,0,0,0,,16,62,13,3,3,1,4,0,0,1,0,20,10190
2009,Shelby Miller,STL,LEVEL,18,0,0,6,2,2,0,0,0,0,,3,16,5,3,2,0,2,0,0,0,0,2,10197
2010,Shelby Miller,STL,LEVEL,19,7,5,3.623014764,24,24,0,0,0,0,,104.1,439,97,51,42,7,33,0,3,2,1,140,10197
2014,Aroldis Chapman,CIN,LEVEL,26,0,0,0,2,2,0,0,0,0,,2,6,0,0,0,0,1,0,0,0,0,3,10233
2008,Bryan Morris,PIT,LEVEL,21,0,2,5.023267623,3,3,0,0,0,0,,14.1,72,17,9,8,2,12,0,0,4,0,11,10234
2008,Bryan Morris,LAD,LEVEL,21,2,4,3.195916974,17,17,1,1,0,0,,81.2,342,74,34,29,5,31,0,2,7,0,72,10234
2010,Ariel Pena,LAA,LEVEL,21,7,5,3.757281553,18,18,1,0,0,0,,103,457,93,51,43,7,60,1,7,8,1,88,10240
2010,Justin Marks,OAK,LEVEL,22,3,12,4.9239972,20,20,0,0,0,0,,109.2,473,109,66,60,11,41,0,9,7,0,119,10265
2015,Josh Smoker,NYM,LEVEL,26,1,0,8.099996138,6,0,0,0,0,1,,6.2,33,11,6,6,0,2,0,0,1,0,8,10285
2008,Josh Smoker,WSN,LEVEL,19,0,4,11.5,5,5,0,0,0,0,,18,98,31,27,23,5,9,0,1,1,0,21,10285
2010,Josh Smoker,WSN,LEVEL,21,3,10,6.50365217,30,19,0,0,3,0,,91.1,426,106,73,66,15,56,1,4,8,1,92,10285
2012,Josh Smoker,WSN,LEVEL,23,0,1,15,2,0,0,0,1,0,,3,15,3,5,5,1,4,0,0,1,0,1,10285
2008,Adam Eaton,PHI,LEVEL,30,0,1,9.818172668,1,1,0,0,0,0,,3.2,16,5,4,4,1,1,0,0,0,0,2,1029
2010,Ryan Tepera,TOR,LEVEL,22,9,6,3.975,24,22,0,0,0,0,,120,502,113,61,53,7,44,1,4,11,0,79,10291
2010,Chad Bell,TEX,LEVEL,21,3,3,2.983426986,26,4,1,0,0,1,,60.1,252,51,29,20,5,18,0,0,6,0,50,10297
2014,Chad Bell,TEX,LEVEL,25,2,0,4.101271071,6,6,1,0,0,0,,26.1,113,32,13,12,5,7,0,0,0,0,14,10297
2010,Chris Heston,SFG,LEVEL,22,5,13,3.753354625,26,26,1,0,0,0,,148.2,642,161,83,62,6,33,0,9,12,1,124,10302
2010,Jarred Cosart,PHI,LEVEL,20,7,3,3.785048618,14,14,1,1,0,0,,71.1,293,60,34,30,3,16,0,5,7,0,77,10304
2010,Roman Mendez,BOS,LEVEL,19,0,2,11.4,6,6,0,0,0,0,,15,88,29,24,19,5,10,0,4,1,0,18,10307
2011,Roman Mendez,TEX,LEVEL,20,9,1,3.307692308,26,20,0,0,1,0,,117,509,117,44,43,7,45,0,6,11,1,130,10307
2010,Zack Wheeler,SFG,LEVEL,20,3,3,3.988634202,21,13,0,0,0,0,,58.2,262,47,27,26,0,38,0,7,13,2,70,10310
2010,Erasmo Ramirez,SEA,LEVEL,20,10,4,2.9670263,26,23,1,0,1,0,,151.2,611,142,63,50,13,21,0,13,2,0,117,10314
2010,Michael Tonkin,MIN,LEVEL,20,3,6,4.292307692,13,12,0,0,0,0,,65,292,76,43,31,7,18,0,8,7,0,40,10315
2011,Michael Tonkin,MIN,LEVEL,21,4,3,3.873911244,48,3,0,0,2,3,,76.2,338,82,41,33,3,24,1,8,6,0,69,10315
2012,Michael Tonkin,MIN,LEVEL,22,3,0,1.384615385,22,0,0,0,6,3,,39,154,29,8,6,1,9,1,1,5,0,53,10315
2010,Chad Jenkins,TOR,LEVEL,22,5,4,3.63025373,13,13,1,0,0,0,,79.1,332,87,35,32,5,13,0,1,3,0,64,10326
2010,Giovanni Soto,CLE,LEVEL,19,3,2,3.774193548,6,6,0,0,0,0,,31,124,22,13,13,5,11,0,4,1,0,31,10330
2010,Giovanni Soto,DET,LEVEL,19,6,6,2.6129021,16,16,2,2,0,0,,82.2,340,75,29,24,2,25,0,6,4,0,76,10330
2010,Nick Christiani,CIN,LEVEL,22,1,0,3.857142857,7,0,0,0,1,2,,14,55,12,6,6,1,2,0,0,0,0,12,10332
2015,Edwin Escobar,BOS,LEVEL,23,0,0,0,1,1,0,0,0,0,,1,3,0,0,0,0,0,0,0,0,0,0,10337
2011,Edwin Escobar,SFG,LEVEL,19,1,3,18,4,2,0,0,0,1,,6,41,15,15,12,0,5,0,1,1,0,5,10337
2012,Edwin Escobar,SFG,LEVEL,20,7,8,2.96172697,22,22,0,0,0,0,,130.2,547,121,57,43,7,32,0,7,10,2,122,10337
2010,Juan Minaya,HOU,LEVEL,19,4,12,4.793721172,26,26,0,0,0,0,,127.2,577,111,80,68,7,73,0,21,22,0,96,10341
2011,Juan Minaya,HOU,LEVEL,20,1,5,6.896103896,28,9,0,0,1,0,,77,364,89,66,59,6,57,0,5,10,1,76,10341
2013,Juan Minaya,HOU,LEVEL,22,3,6,4.774387468,24,5,0,0,8,3,,54.2,255,63,34,29,5,23,1,4,3,0,57,10341
2010,Aaron Loup,TOR,LEVEL,22,3,2,4.540911296,35,5,0,0,2,2,,73.1,309,79,37,37,4,22,1,5,3,0,73,10343
2010,Robbie Erlin,TEX,LEVEL,19,6,3,2.119179889,28,17,0,0,1,0,,114.2,447,89,37,27,9,17,0,4,4,0,125,10354
2012,Carlos Contreras,CIN,LEVEL,21,0,1,3.197366415,40,0,0,0,16,4,,50.2,205,29,22,18,6,19,1,3,3,0,51,10386
2012,Brooks Pounders,KCR,LEVEL,21,3,2,3.374997882,12,8,0,0,0,1,,50.2,229,52,32,19,2,19,0,3,5,0,57,10387
2011,Brooks Pounders,PIT,LEVEL,20,5,5,3.681818182,36,1,0,0,3,2,,66,283,61,29,27,9,14,0,13,4,0,72,10387
2013,Mychal Givens,BAL,LEVEL,23,2,3,4.218746857,28,0,0,0,3,1,,42.2,179,34,20,20,1,19,0,3,11,1,36,10430
2010,Taylor Jordan,WSN,LEVEL,21,0,1,13.50001384,1,0,0,0,0,0,,3.1,18,4,5,5,0,3,0,1,0,0,5,10466
2011,Taylor Jordan,WSN,LEVEL,22,9,4,2.480566307,18,17,1,1,0,1,,94.1,399,90,38,26,1,23,0,6,4,0,63,10466
2012,Taylor Jordan,WSN,LEVEL,23,3,4,4.05,9,9,0,0,0,0,,40,178,52,22,18,2,9,0,6,0,3,28,10466
2011,Shawn Tolleson,LAD,LEVEL,23,1,0,0,14,0,0,0,10,0,,15,56,8,1,0,0,4,0,0,2,0,33,10481
2010,Yoervis Medina,SEA,LEVEL,21,5,0,2.5,6,6,0,0,0,0,,36,151,30,10,10,3,12,0,2,3,0,42,10498
2011,Mario Hollands,PHI,LEVEL,22,6,6,4.238906305,28,15,0,0,0,0,,97.2,429,109,53,46,5,36,2,2,4,0,73,10504
2012,Mario Hollands,PHI,LEVEL,23,0,1,4.569223663,9,2,0,0,0,0,,21.2,92,25,11,11,1,7,1,0,3,0,21,10504
2011,Hunter Cervenka,BOS,LEVEL,21,0,2,10.8,7,0,0,0,0,1,,20,98,22,24,24,2,18,0,2,4,0,18,10510
