Season,Name,Team,Level,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,xFIP,PlayerId
2012,Keyvius Sampson,SDP,LEVEL,21,122.1,8.975501282,4.193471911,2.14035088,0.809266509,0.22932331,0.10714286,0.12218045,0.22929936,1.348777515,0.28698225,0.64453125,5.00273842,3.950401612,1.052336807,4.080887355,10039
2011,Chris Dwyer,KCR,LEVEL,23,141.1,8.023604252,4.966993108,1.61538462,0.891511584,0.20554649,0.12724307,0.07830342,0.23440454,1.429248729,0.28277635,0.6104034,5.603787097,4.665249216,0.938537881,4.957451663,10045
2006,Junior Herndon,KCR,LEVEL,27,160,4.89375,2.1375,2.28947368,1.18125,0.12482066,0.05451937,0.07030129,0.30307692,1.46875,0.32472325,0.65237651,5.2875,4.750409794,0.537090206,,1005716
2013,Tyler Matzek,COL,LEVEL,22,142.1,6.007040143,4.805632115,1.25,0.82201602,0.15151515,0.12121212,0.03030303,0.26923077,1.566748482,0.30593607,0.76739752,3.793920091,4.616082663,-0.822162572,4.740373828,10058
2011,Brooks Raley,CHC,LEVEL,23,136.1,5.281186795,2.970667572,1.77777778,1.056237359,0.12924071,0.0726979,0.05654281,0.29772329,1.577021057,0.32421053,0.67484663,4.224949436,4.7149263,-0.489976864,4.464919231,10061
2012,Johnny Hellweg,LAA,LEVEL,23,119.2,6.618365976,4.512522256,1.46666667,0.601669634,0.17322835,0.11811024,0.05511811,0.24137931,1.378826245,0.28613569,0.75539568,3.384391692,4.508508896,-1.124117204,4.590961932,10065
2010,Aaron Crow,KCR,LEVEL,23,119.1,6.787728447,4.449733093,1.52542373,0.980449665,0.16697588,0.10946197,0.05751391,0.2742616,1.583803304,0.31536388,0.61651584,5.656440372,4.755453551,0.900986822,4.044423066,10149
2011,Jacob Turner,DET,LEVEL,20,113.2,7.126078821,2.533716914,2.8125,0.712607882,0.19027484,0.06765328,0.12262156,0.23502304,1.178882175,0.27761194,0.73208723,3.483860757,3.885132041,-0.401271284,3.917987755,10185
2013,Ariel Pena,MIL,LEVEL,24,142.1,8.283392198,4.995328119,1.65822785,1.074944026,0.21688742,0.1307947,0.08609272,0.21988528,1.363000921,0.26133333,0.77235772,3.730688089,4.331837178,-0.601149089,3.952884471,10240
2012,Ariel Pena,LAA,LEVEL,23,114.1,8.73763479,3.306132083,2.64285714,1.102044028,0.23368421,0.08842105,0.14526316,0.21990741,1.19825422,0.26384365,0.80236486,2.99126236,4.058527984,-1.067265623,3.896477595,10240
2013,Ryan Tepera,TOR,LEVEL,25,116,8.146551724,4.344827586,1.875,0.853448276,0.20309478,0.10831721,0.09477757,0.24276169,1.422413793,0.29429429,0.69306931,4.5,4.505784382,-0.005784382,4.196754749,10291
2015,Chad Bell,TEX,LEVEL,26,141.1,7.514169061,2.674534751,2.80952381,0.700473387,0.19407895,0.06907895,0.125,0.2745098,1.386795797,0.33101852,0.63577586,4.584916715,3.636333427,0.948583288,3.555987455,10297
2012,Chris Heston,SFG,LEVEL,24,148.2,8.172627006,2.421519113,3.375,0.121075956,0.22689076,0.06722689,0.15966387,0.22504537,1.103136485,0.29468599,0.7566586,2.23990518,2.448078546,-0.208173367,3.033890689,10302
2012,Zack Wheeler,NYM,LEVEL,22,116,9.077586207,3.336206897,2.72093023,0.155172414,0.24683544,0.0907173,0.15611814,0.21904762,1.163793103,0.29900332,0.69832402,3.25862069,2.804888324,0.453732366,3.441492234,10310
2012,Chad Jenkins,TOR,LEVEL,24,114.1,4.486893541,2.440240347,1.83870968,1.338196319,0.11242604,0.06114398,0.05128206,0.30785563,1.539363086,0.32241814,0.72519084,4.959198124,5.081912,-0.122713876,4.351965554,10326
2012,Giovanni Soto,CLE,LEVEL,21,121.1,7.417602784,3.634625364,2.04081633,0.741760278,0.19493177,0.09551657,0.0994152,0.24342105,1.318684939,0.29190751,0.68831169,3.931329476,4.033859916,-0.102530441,3.751749562,10330
2013,Brooks Pounders,KCR,LEVEL,22,116,7.75862069,3.25862069,2.38095238,0.931034483,0.20283976,0.0851927,0.11764706,0.24318182,1.284482759,0.28963415,0.6773743,4.5,4.047739269,0.452260731,4.342872841,10387
2013,Seth Rosin,PHI,LEVEL,24,126.2,6.821034691,2.486835565,2.74285714,0.923681781,0.18079096,0.06591337,0.11487759,0.24340771,1.223680992,0.27864583,0.63662375,4.334199127,4.043169062,0.291030065,4.050270822,10606
2013,Donn Roach,SDP,LEVEL,23,142.2,4.857465033,2.523358459,1.925,0.44158773,0.12833333,0.06666667,0.06166666,0.24864865,1.247660571,0.27813163,0.63510393,3.532701842,3.56103165,-0.028329808,3.75139586,10620
2014,Scott Copeland,TOR,LEVEL,26,139.2,5.735069539,3.093071212,1.85416667,0.708828819,0.14808652,0.07986689,0.06821963,0.25782689,1.346058768,0.29119639,0.69003286,3.737461048,4.349954145,-0.612493097,3.972658106,10706
2013,R.J. Alaniz,HOU,LEVEL,22,113.1,5.161779879,3.732363913,1.38297872,0.714707983,0.12621359,0.09126214,0.03495145,0.29501085,1.614710629,0.32816537,0.65952649,4.526483894,4.371069706,0.155414188,4.704493215,10819
2012,Michael Mariot,KCR,LEVEL,23,113.2,6.413470939,2.375359607,2.7,0.950143843,0.17234043,0.06382979,0.10851064,0.25458716,1.240465572,0.28862974,0.75663027,3.404682103,4.124672364,-0.719990261,4.041634772,10835
2013,Christian Bergman,COL,LEVEL,25,171,5.842105263,1.210526316,4.82608696,1.315789474,0.1627566,0.03372434,0.12903226,0.24770642,1.081871345,0.26447876,0.73548387,3.368421053,4.14992721,-0.781506157,3.458568796,10925
2013,Josh A. Smith,CIN,LEVEL,25,160,7.81875,2.8125,2.78,0.9,0.20623145,0.07418398,0.13204747,0.23987034,1.2375,0.28571429,0.76670318,3.2625,3.543880033,-0.281380033,3.496848987,10946
2012,Jake Buchanan,HOU,LEVEL,22,134.1,5.560808151,2.210923723,2.51515152,0.736974574,0.1394958,0.05546218,0.08403362,0.30755396,1.518614274,0.34632035,0.64234327,4.957828954,3.979853696,0.977975259,3.838514356,10962
2015,Tim Adleman,CIN,LEVEL,27,150,6.78,2.94,2.30612245,0.42,0.18494272,0.0801964,0.10474632,0.23928571,1.22,0.28863636,0.75913242,2.64,3.423600025,-0.783600025,3.509439379,10968
