"","season","name","team","age","w","l","g","gs","sv","bs","ip","babip","h","r","er","hr","bb","so","fip","war","player_id","year_in_mlb","sum_yrs"
"1",2002,"Aaron Harang","OAK",24,5,4,16,15,0,0,78.1,0.302,78,44,42,7,45,64,4.33,1.2,1451,1,15
"2",2003,"Aaron Harang","- - -",25,5,6,16,15,0,0,76.1,0.307,89,47,45,11,19,42,4.59,1,1451,2,15
"3",2004,"Aaron Harang","CIN",26,10,9,28,28,0,0,161,0.301,177,90,87,26,53,125,4.68,1.8,1451,3,15
"4",2005,"Aaron Harang","CIN",27,11,13,32,32,0,0,211.2,0.303,217,93,90,22,51,163,3.67,4.6,1451,4,15
"5",2006,"Aaron Harang","CIN",28,16,11,36,35,0,0,234.1,0.312,242,109,98,28,56,216,3.68,5.7,1451,5,15
"6",2007,"Aaron Harang","CIN",29,16,6,34,34,0,0,231.2,0.288,213,100,96,28,52,218,3.71,5.4,1451,6,55
"7",2008,"Aaron Harang","CIN",30,6,17,30,29,0,0,184.1,0.307,205,104,98,35,50,153,4.79,1.5,1451,7,55
"8",2009,"Aaron Harang","CIN",31,6,14,26,26,0,0,162.1,0.331,186,82,76,24,43,142,4.14,2.3,1451,8,55
"9",2010,"Aaron Harang","CIN",32,6,7,22,20,0,0,111.2,0.338,139,71,66,16,38,82,4.6,0.7,1451,9,55
"10",2011,"Aaron Harang","SDP",33,14,7,28,28,0,0,170.2,0.302,175,73,69,20,58,124,4.17,1.4,1451,10,55
"11",2015,"Aaron Nola","PHI",22,6,2,13,13,0,0,77.2,0.289,74,31,31,11,19,68,4.04,1,16149,1,15
"12",2016,"Aaron Nola","PHI",23,6,9,20,20,0,0,111,0.334,116,68,59,10,29,121,3.08,2.8,16149,2,15
"13",2017,"Aaron Nola","PHI",24,12,11,27,27,0,0,168,0.309,154,67,66,18,49,184,3.27,4.5,16149,3,15
"14",2018,"Aaron Nola","PHI",25,17,6,33,33,0,0,212.1,0.251,149,57,56,17,58,224,3.01,5.5,16149,4,15
"15",2019,"Aaron Nola","PHI",26,12,7,34,34,0,0,202.1,0.295,176,91,87,27,80,229,4.03,3.5,16149,5,15
"16",1902,"Addie Joss","CLE",22,17,13,32,29,0,NA,269.1,0.254,225,120,83,2,75,106,2.81,3.7,1006630,1,15
"17",1903,"Addie Joss","CLE",23,18,13,32,31,0,NA,283.2,0.252,232,104,69,3,37,120,2.44,3.9,1006630,2,15
"18",1904,"Addie Joss","CLE",24,14,10,25,24,0,NA,192.1,0.258,160,51,34,0,30,83,2.02,2.8,1006630,3,15
"19",1905,"Addie Joss","CLE",25,20,12,33,32,0,NA,286,0.264,246,90,64,4,46,132,2.26,3.8,1006630,4,15
"20",1906,"Addie Joss","CLE",26,21,9,34,31,1,NA,282,0.239,220,81,54,3,43,106,2.21,4,1006630,5,15
"21",1884,"Adonis Terry","BRO",19,19,35,56,55,0,NA,476,0.3,486,308,188,10,72,230,3.03,5.3,1012926,1,15
"22",1885,"Adonis Terry","BRO",20,6,17,25,23,1,NA,209,0.293,213,147,99,9,42,96,3.12,1.8,1012926,2,15
"23",1886,"Adonis Terry","BRO",21,18,16,34,34,0,NA,288.1,0.287,263,177,99,1,115,162,3.22,3,1012926,3,15
"24",1887,"Adonis Terry","BRO",22,16,16,40,35,3,NA,318,0.297,331,230,142,10,99,138,3.75,3.9,1012926,4,15
